Date,Open,High,Low,Close,Volume
20241210  08:55:00,604.77,604.8,604.73,604.79,171
20241210  09:00:00,604.87,604.98,604.76,604.98,28
20241210  09:05:00,604.97,605.14,604.97,605.09,64
20241210  09:10:00,605.13,605.18,605.12,605.12,102
20241210  09:15:00,605.15,605.29,605.15,605.28,144
20241210  09:20:00,605.29,605.4,605.25,605.38,137
20241210  09:25:00,605.33,605.41,605.26,605.38,129
20241210  09:30:00,605.37,605.4,604.31,604.34,5969
20241210  09:35:00,604.33,604.61,604.27,604.49,4050
20241210  09:40:00,604.49,604.91,604.28,604.9,3462
20241210  09:45:00,604.91,605.27,604.9,604.99,2578
20241210  09:50:00,605.0,605.02,604.38,604.47,3303
20241210  09:55:00,604.47,605.09,604.39,605.09,2156
20241210  10:00:00,605.08,605.24,604.88,605.18,2269
20241210  10:05:00,605.18,605.33,605.12,605.18,2424
20241210  10:10:00,605.16,605.33,605.02,605.2,1260
20241210  10:15:00,605.19,605.5,605.18,605.47,3171
20241210  10:20:00,605.47,605.51,605.21,605.3,2496
20241210  10:25:00,605.38,605.44,605.07,605.12,1492
20241210  10:30:00,605.12,605.62,604.97,605.57,2754
20241210  10:35:00,605.57,605.57,605.29,605.43,1090
20241210  10:40:00,605.42,605.61,605.32,605.56,1681
20241210  10:45:00,605.56,605.8,605.42,605.54,1447
20241210  10:50:00,605.55,605.57,605.12,605.16,1434
20241210  10:55:00,605.15,605.36,604.96,605.01,2005
20241210  11:00:00,605.0,605.27,604.75,605.24,2814
20241210  11:05:00,605.23,605.24,604.61,604.68,2022
20241210  11:10:00,604.68,605.02,604.58,604.85,2434
20241210  11:15:00,604.84,604.91,604.72,604.79,1237
20241210  11:20:00,604.78,604.9,604.64,604.68,1340
20241210  11:25:00,604.66,604.9,604.58,604.66,1312
20241210  11:30:00,604.65,604.7,604.39,604.58,1728
20241210  11:35:00,604.56,604.64,604.38,604.45,1590
20241210  11:40:00,604.44,604.51,604.32,604.42,1599
